Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
15/05/2017,0.21,13.0,13.35176477835238,-5.581607787113786,64.10146878938198,120.12840022632122,6,6,6,6,0.3517647783523792,-18.581607787113786,51.10146878938198,107.12840022632122
22/05/2017,0.38,13.0,18.25684612064302,9.66149948822558,12.653206214193105,31.26134071380973,13,6,6,6,5.256846120643019,-3.33850051177442,-0.346793785806895,18.26134071380973
29/05/2017,0.32,13.0,24.73718534700036,8.797592810719014,16.785123738069533,-1.431930046170652,13,13,6,6,11.73718534700036,-4.202407189280986,3.785123738069533,-14.431930046170653
05/06/2017,0.19,13.0,21.52059316845417,3.9256939820216594,16.838463608694077,17.67551209545493,13,13,13,6,8.52059316845417,-9.07430601797834,3.8384636086940773,4.6755120954549305
12/06/2017,0.03,13.0,23.805236174190043,3.415979305372685,10.179842746694684,19.565045594866277,13,13,13,13,10.805236174190043,-9.584020694627315,-2.8201572533053163,6.565045594866277
19/06/2017,0.0,18.0,19.32882367436528,3.19156137456581,8.594336785390377,16.301711212939026,13,13,13,13,1.3288236743652817,-14.80843862543419,-9.405663214609623,-1.6982887870609744
26/06/2017,0.17,0.0,20.49958172148049,10.291125395627617,21.143107362838983,27.07900065516472,18,13,13,13,20.49958172148049,10.291125395627617,21.143107362838983,27.07900065516472
03/07/2017,0.44,0.0,24.538572124546768,19.434433725800513,30.492515497437715,41.382618566558364,0,18,13,13,24.538572124546768,19.434433725800513,30.492515497437715,41.382618566558364
10/07/2017,0.45,0.0,16.972810665035247,15.31883084167242,36.10008882039428,46.226328637547496,0,0,18,13,16.972810665035247,15.31883084167242,36.10008882039428,46.226328637547496
17/07/2017,0.67,0.0,8.88989158226788,-6.320391924517751,6.842399306952953,43.88856518473864,0,0,0,18,8.88989158226788,-6.320391924517751,6.842399306952953,43.88856518473864
24/07/2017,0.06,0.0,1.814749651839584,-8.290298026760816,-20.727845798063278,3.9540840857729314,0,0,0,0,1.814749651839584,-8.290298026760816,-20.727845798063278,3.9540840857729314
31/07/2017,0.05,0.0,-8.301594599491954,2.0570200573427977,-12.588094768717289,-12.478163569386005,0,0,0,0,-8.301594599491954,2.0570200573427977,-12.588094768717289,-12.478163569386005
07/08/2017,0.11,0.0,1.661565831631869,5.400396348368526,1.5499278661523759,-12.235600806934833,0,0,0,0,1.661565831631869,5.400396348368526,1.5499278661523759,-12.235600806934833
14/08/2017,0.25,0.0,-0.42663325267151,2.472542810948342,-2.6297803565986455,0.43974162810891865,0,0,0,0,-0.42663325267151,2.472542810948342,-2.6297803565986455,0.43974162810891865
21/08/2017,0.05,0.0,1.542984856160134,5.577305340088606,5.8219925214707855,2.70832931283921,0,0,0,0,1.542984856160134,5.577305340088606,5.8219925214707855,2.70832931283921
28/08/2017,0.25,0.0,-4.489641807560473,-2.861108259192556,3.1585792719720303,-1.8562764940157532,0,0,0,0,-4.489641807560473,-2.861108259192556,3.1585792719720303,-1.8562764940157532
04/09/2017,0.12,-1.0,3.328495384710878,1.3450517220439018,-1.5322337254960834,3.215784924286902,0,0,0,0,4.3284953847108785,2.3450517220439018,-0.5322337254960834,4.215784924286902
11/09/2017,0.51,-1.0,-0.6327829260863364,2.0304704309664667,1.8186282124583424,-0.4716253662201762,-1,0,0,0,0.36721707391366365,3.0304704309664667,2.8186282124583424,0.5283746337798239
18/09/2017,0.16,-1.0,2.1228190715043245,2.4585664034213126,4.305947516525835,3.8804886785450576,-1,-1,0,0,3.1228190715043245,3.4585664034213126,5.305947516525835,4.880488678545058
25/09/2017,0.59,1.0,-7.166302130622268,-3.1392662592606246,0.33733846434697506,1.8283386396583914,-1,-1,-1,0,-8.166302130622267,-4.139266259260625,-0.662661535653025,0.8283386396583914
02/10/2017,0.08,6.0,5.136506801094264,7.1916393172037605,5.114251518032402,4.8694530664685365,1,-1,-1,-1,-0.8634931989057364,1.1916393172037605,-0.8857484819675978,-1.1305469335314635
09/10/2017,0.22,6.0,-13.53613417082548,-3.306628456400782,-4.3951999162097275,-1.074021558908522,6,1,-1,-1,-19.53613417082548,-9.306628456400782,-10.395199916209727,-7.074021558908522
16/10/2017,0.11,-33.0,15.511902372724414,9.31043427297771,5.790936608576774,3.0348402846327422,6,6,1,-1,48.511902372724414,42.31043427297771,38.79093660857677,36.03484028463274
23/10/2017,0.18,-33.0,10.338903627254963,4.77571152273193,0.5620905173800885,-2.225006551888883,-33,6,6,1,43.338903627254965,37.77571152273193,33.562090517380085,30.77499344811112
30/10/2017,0.17,0.0,-24.586865253485442,1.7451718150372804,5.338603684110045,7.1002101361504195,-33,-33,6,6,-24.586865253485442,1.7451718150372804,5.338603684110045,7.1002101361504195
06/11/2017,0.53,0.0,-66.34132445610523,-9.76213510800898,-16.06532472477436,0.8345132720330357,0,-33,-33,6,-66.34132445610523,-9.76213510800898,-16.06532472477436,0.8345132720330357
13/11/2017,0.26,-22.999999999999996,-52.005880155937675,0.011819885434359313,-15.483732627568244,-11.06598849984169,0,0,-33,-33,-29.005880155937678,23.011819885434356,7.516267372431752,11.934011500158306
20/11/2017,0.11,0.0,-24.05011285773039,31.25019250132084,16.382358095210193,-10.541299412523507,-23,0,0,-33,-24.05011285773039,31.25019250132084,16.382358095210193,-10.541299412523507
27/11/2017,0.26,0.0,-22.82983615127206,28.787701720147133,15.352891361153127,11.980303998144866,0,-23,0,0,-22.82983615127206,28.787701720147133,15.352891361153127,11.980303998144866
04/12/2017,0.0,123.99999999999999,-27.68047801173091,-2.1455929920516907,-19.176154751468896,27.953418468825816,0,0,-23,0,-151.68047801173088,-126.14559299205168,-143.17615475146889,-96.04658153117417
