Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
26/12/2016,0.33,23.0,25.069575741871596,71.85795310190201,44.612990076355935,78.77170242408752,27,27,21,33,2.0695757418715957,48.85795310190201,21.612990076355935,55.77170242408752
02/01/2017,0.14,10.999999999999998,36.37217089374781,29.96028141646266,98.06011303933144,56.68169943234444,23,27,27,21,25.372170893747807,18.960281416462664,87.06011303933144,45.68169943234444
09/01/2017,0.17,10.999999999999998,47.887975215895175,40.806005258386136,63.02647479945421,123.01329314417362,11,23,27,27,36.887975215895175,29.806005258386136,52.02647479945421,112.01329314417362
16/01/2017,0.15,10.999999999999998,27.114910623675584,45.43862232025862,76.41228215325356,89.49594772656441,11,11,23,27,16.114910623675584,34.43862232025862,65.41228215325356,78.49594772656441
23/01/2017,0.41,11.999999999999998,20.972095777926445,2.88619083259359,63.54693087517738,84.83747170167923,11,11,11,23,8.972095777926446,-9.113809167406409,51.54693087517738,72.83747170167923
30/01/2017,0.6,55.99999999999999,23.58001866308093,18.025123503277303,35.79598875273228,85.6141779794693,12,11,11,11,-32.419981336919065,-37.974876496722686,-20.204011247267715,29.61417797946931
06/02/2017,0.96,55.99999999999999,-28.397729333642722,5.021711625722647,21.736409955785273,37.842022634630204,56,12,11,11,-84.39772933364272,-50.97828837427735,-34.26359004421472,-18.15797736536979
13/02/2017,0.74,55.99999999999999,33.29188152314782,62.17010271327019,15.51788996546924,29.283101842799187,56,56,12,11,-22.70811847685217,6.170102713270197,-40.48211003453075,-26.716898157200806
20/02/2017,0.28,179.99999999999997,35.44804428400755,57.18285421645641,22.333665131424667,18.23859934410453,56,56,56,12,-144.55195571599242,-122.81714578354357,-157.6663348685753,-161.76140065589544
27/02/2017,0.46,179.99999999999997,-103.248956395607,113.54282774429322,22.042505329290627,110.53353940924644,180,56,56,56,-283.24895639560697,-66.45717225570675,-157.95749467070934,-69.46646059075353
06/03/2017,0.29,180.99999999999997,-59.46597842501402,250.05146923386573,105.964284887681,52.39041260131359,180,180,56,56,-240.465978425014,69.05146923386576,-75.03571511231897,-128.6095873986864
13/03/2017,0.1,33.0,246.06787981990814,366.46304184923173,238.43276240077972,140.24180300860405,181,180,180,56,213.06787981990814,333.46304184923173,205.43276240077972,107.24180300860405
20/03/2017,0.23,34.0,262.645802417717,571.1687022377396,267.85006418068883,135.85012683460235,33,181,180,180,228.645802417717,537.1687022377396,233.85006418068883,101.85012683460235
27/03/2017,0.17,239.99999999999997,79.73220128149032,355.32626527744293,286.7562146751976,-39.556338547093866,34,33,181,180,-160.26779871850965,115.32626527744296,46.75621467519764,-279.55633854709384
03/04/2017,0.3,239.99999999999997,-136.1410240066433,181.37626962327005,43.74294506347895,62.019951028351784,240,34,33,181,-376.1410240066433,-58.623730376729924,-196.25705493652103,-177.9800489716482
10/04/2017,0.12,240.99999999999997,213.98847860710143,256.07041762655257,-73.44225095643044,-124.16380689416408,240,240,34,33,-27.011521392898544,15.070417626552597,-314.4422509564304,-365.16380689416405
17/04/2017,0.11,43.99999999999999,303.34945870859144,509.0162644285774,94.52335842530728,-94.34886699145316,241,240,240,34,259.34945870859144,465.0162644285774,50.523358425307286,-138.34886699145315
24/04/2017,0.37,43.99999999999999,283.59961106023786,582.1935418233871,508.8903959261131,108.6174064118576,44,241,240,240,239.59961106023786,538.1935418233871,464.8903959261131,64.61740641185762
